Synonym,Original_drug
Triflupromazinum,Triflupromazine
D-T4,Dextrothyroxine
D-thyroxine,Dextrothyroxine
Dextrothyroxine,Dextrothyroxine
DT4,Dextrothyroxine
O-(4-Hydroxy-3 5-diiodophenyl)-3 5-diiodo-D-tyrosine,Dextrothyroxine
Acetildigitoxina,Acetyldigitoxin
Acetyl-digitoxin-alpha,Acetyldigitoxin
Acetyldiginatin,Acetyldigitoxin
Acetyldigitoxinum,Acetyldigitoxin
Acetylgitoxin,Acetyldigitoxin
alpha-Acetyldigitoxin,Acetyldigitoxin
alpha-Acetylgitaloxin,Acetyldigitoxin
alpha-Monoacetyldigitoxin,Acetyldigitoxin
Desglucolanatoside A,Acetyldigitoxin
Digitoxin 3'''-acetate,Acetyldigitoxin
(1S 2R 18R 22S 25R 28R 40S)-22-(2-amino-2-Oxoethyl)-48-[2-O-(3-amino-2 3 6-trideoxy-3-methyl-alpha-L-lyxo-hexopyranosyl)-beta-D-glucopyranosyloxy]-5 15-dichloro-2 18 32 35 37-pentahydroxy-19-[(N-methyl-D-leucyl)amino]-20 23 26 42 44-pentaoxo-7 13-dioxa-21 24 27 41 43-pentaazaoctacyclo[26.14.2.2(3 6).2(14 17).1(8 12).1(29 33).0(10 25).0(34 39)]pentaconta-3 5 8(48) 9 11 14 16 29(45) 30 32 34 36 38 46 49-pentadecaene-40-carboxylic acid,Vancomycin
(2.2Sp 3.5sa 2.6sp)-O(4.2) C(3.4):c(5.4) O(4.6):c(3.5) C(2.7)-tricyclo[N-methyl-D-leucyl-3-chloro-(R)-beta-hydroxy-D-tyrosyl-L-asparaginyl-D-2-(4-{[2-O-(3-amino-2 3 6-trideoxy-3-C-methyl-alpha-L-lyxo-hexopyranosyl)-beta-D-glucopyranosyl]oxy}phenyl)glycyl-D-2-(4-hydroxyphenyl)glycyl-3-chloro-(R)-beta-hydroxy-L-tyrosyl-L-2-(3 5-dihydroxyphenyl)glycine],Vancomycin
Vancomicina,Vancomycin
Vancomycin,Vancomycin
Vancomycine,Vancomycin
Vancomycinum,Vancomycin
6-Aminocaproic acid,Aminocaproic Acid
6-aminohexanoic acid,Aminocaproic Acid
Acide aminocaproÃ¯que,Aminocaproic Acid
Acide aminocaproque,Aminocaproic Acid
ÃÅcido aminocaprÃ_ico,Aminocaproic Acid
Acidum Aminocaproicum,Aminocaproic Acid
Ahx,Aminocaproic Acid
AMINOCAPROIC,Aminocaproic Acid
Aminocaproic acid,Aminocaproic Acid
AminocapronsÃ_ure,Aminocaproic Acid
Aminohexanoic acid,Aminocaproic Acid
Caproamin,Aminocaproic Acid
Eaca,Aminocaproic Acid
EACA,Aminocaproic Acid
Epsicaprom,Aminocaproic Acid
Epsilcapramine,Aminocaproic Acid
epsilon-Ahx,Aminocaproic Acid
Epsilon-Aminocaproic Acid,Aminocaproic Acid
epsilon-Aminohexanoic acid,Aminocaproic Acid
Z,Aminocaproic Acid
(+)-dextromethorphan,Dextromethorphan
D-methorphan,Dextromethorphan
delta-Methorphan,Dextromethorphan
Dex,Dextromethorphan
Dextromethorfan,Dextromethorphan
Dextromethorphan,Dextromethorphan
DextromÃ©thorphane,Dextromethorphan
Dextromethorphanum,Dextromethorphan
Dextrometorfano,Dextromethorphan
DM,Dextromethorphan
CDDP,Cisplatin
Cis-DDP,Cisplatin
cis-diamminedichloroplatinum(II),Cisplatin
8-Methyl-3-(2-propylpentanoyloxy)tropinium bromide,Anisotropine Methylbromide
8-Methyltropinium bromide 2-propylpentanoate,Anisotropine Methylbromide
8-Methyltropinium bromide 2-propylvalerate,Anisotropine Methylbromide
Anisotropine methobromide,Anisotropine Methylbromide
Anisotropine methylbromide,Anisotropine Methylbromide
Endo-8 8-dimethyl-3-((1-oxo-2-propylpentyl)oxy)-8-azoniabicyclo(3.2.1)octane bromide,Anisotropine Methylbromide
Methylbromure d'octatropine,Anisotropine Methylbromide
Methyloctatropine bromide,Anisotropine Methylbromide
Metilbromuro de octatropina,Anisotropine Methylbromide
Octatropine methylbromide,Anisotropine Methylbromide
Octatropini methylbromidum,Anisotropine Methylbromide
(5-(propylthio)-1H-benzimidazol-2-yl)carbamic acid methyl ester,Albendazole
5-(propylthio)-2-carbomethoxyaminobenzimidazole,Albendazole
Albendazol,Albendazole
Albendazole,Albendazole
Albendazolum,Albendazole
Eskazole,Albendazole
O-methyl N-(5-(propylthio)-2-benzimidazolyl)carbamate,Albendazole
Proftril,Albendazole
Trandolaprilum,Trandolapril
(4R 5S)-5-((2-Aminoethyl)amino)-N(2)-(10 12-dimethyltetradecanoyl)-4-hydroxy-L-ornithyl-L-threonyl-trans-4-hydroxy-L-prolyl-(S)-4-hydroxy-4-(P-hydroxyphenyl)-L-threonyl-threo-3-hydroxy-L-ornithyl-trans-3-hydroxy-L-proline cyclic (6-1)-peptide,Caspofungin
1-[(4R 5S)-5-[(2-Aminoethyl)amino]-N(2)-(10 12-dimethyl-1-oxotetradecyl)-4-hydroxy-L-ornithine]-5-[(3R)-3-hydroxy-L-ornithine]-pneumocandin b0,Caspofungin
Carteolol,Carteolol
Carteololum,Carteolol
Bentiromide,Bentiromide
Bentiromido,Bentiromide
Bentiromidum,Bentiromide
BTPABA,Bentiromide
PFT,Bentiromide
(2E 4E 6Z 8E)-3 7-dimethyl-9-(2 6 6-trimethyl-1-cyclohexen-1-yl)-2 4 6 8-nonatetraenoic acid,Alitretinoin
(7E 9Z 11E 13E)-retinoic acid,Alitretinoin
9-cis-retinoic acid,Alitretinoin
9-cis-Tretinoin,Alitretinoin
9(Z)-Retinoic acid,Alitretinoin
Alitretinoin,Alitretinoin
AlitretinoÃ_na,Alitretinoin
AlitrÃ©tinoÃ¯ne,Alitretinoin
Alitretinoinum,Alitretinoin
2-Methyl-3-O-tolyl-6-sulfamyl-7-chloro-1 2 3 4-tetrahydro-4-quinazolinone,Metolazone
7-Chloro-1 2 3 4-tetrahydro-2-methyl-3-(2-methylphenyl)-4-oxo-6-quinazolinesulfonamide,Metolazone
7-Chloro-1 2 3 4-tetrahydro-2-methyl-4-oxo-3-O-tolyl-6-quinazolinesulfonamide,Metolazone
Metolazon,Metolazone
Metolazona,Metolazone
MÃ©tolazone,Metolazone
Metolazonum,Metolazone
2-Naphthyl N-methyl-N-(3-tolyl)thionocarbamate,Tolnaftate
m N-Dimethylthiocarbanilic acid O-2-naphthyl ester,Tolnaftate
Methyl (3-methylphenyl)carbamothioic acid O-2-naphthalenyl ester,Tolnaftate
N-Methyl-N-(3-methylphenyl)-1-(naphthalen-2-yloxy)methanethioamide,Tolnaftate
O-2-Naphthyl m N-dimethylthiocarbanilate,Tolnaftate
Separin,Tolnaftate
Tolnaftato,Tolnaftate
Tolnaftatum,Tolnaftate
Tolnaphthate,Tolnaftate
Diaminocyclohexane Oxalatoplatinum,Oxaliplatin
L-OHP,Oxaliplatin
Oxalatoplatin,Oxaliplatin
Oxalatoplatinum,Oxaliplatin
oxaliplatine,Oxaliplatin
oxaliplatino,Oxaliplatin
oxaliplatinum,Oxaliplatin
2-Butoxy-N-(2-(diethylamino)ethyl)cinchoninamide,Cinchocaine
2-Butoxy-N-(alpha-diethylaminoethyl)cinchoninamide,Cinchocaine
2-Butoxy-N-(beta-diethylaminoethyl)cinchoninamide,Cinchocaine
2-Butoxy-N-[2-(diethylamino)ethyl]-4-quinolinecarboxamide,Cinchocaine
2-Butoxy-quinoline-4-carboxylic acid (2-diethylamino-ethyl)-amide,Cinchocaine
2-Butoxyquinoline-4-carboxylic acid diethylaminoethylamide,Cinchocaine
2-N-Butoxy-N-(2-diethylaminoethyl)cinchoninamide,Cinchocaine
alpha-Butyloxycinchonic acid-gamma-diethylethylenediamine,Cinchocaine
alpha-Butyloxycinchoninic acid diethylethylenediamide,Cinchocaine
CINCHOCAINE,Cinchocaine
Cinchocainum,Cinchocaine
Cincocainio,Cinchocaine
Dibucaine,Cinchocaine
Dibucaine base,Cinchocaine
N-(2-(Diethylamino)ethyl)-2-butoxycinchoninamide,Cinchocaine
Lercanidipine,Lercanidipine
Lercanil,Lercanidipine
Carboxyphosphonic acid,Foscarnet
Foscarmet,Foscarnet
Phosphonoformate,Foscarnet
Phosphonoformic acid,Foscarnet
Phosphonomethanoic acid,Foscarnet
[6 7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine,Erlotinib
Erlotinib,Erlotinib
OSI-774,Erlotinib
(+-)-Cyclophosphamide,Cyclophosphamide
(RS)-Cyclophosphamide,Cyclophosphamide
2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1 3 2-oxazaphosphorine-2-oxide,Cyclophosphamide
Anhydrous cyclophosphamide,Cyclophosphamide
Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester,Cyclophosphamide
Ciclofosfamida,Cyclophosphamide
Ciclofosfamide,Cyclophosphamide
Cyclophosphamid,Cyclophosphamide
Cyclophosphamide,Cyclophosphamide
Cyclophosphamide anhydrous,Cyclophosphamide
Cyclophosphamidum,Cyclophosphamide
Cytophosphane,Cyclophosphamide
Ledoxina,Cyclophosphamide
N N-Bis(2-chloroethyl)tetrahydro-2H-1 3 2-oxazaphosphorin-2-amine 2-oxide,Cyclophosphamide
{3-[(aminocarbonyl)amino]-2-methoxypropyl}chloromercury,Chlormerodrin
1-[3-(Chloromercuri)-2-methoxypropyl]urea,Chlormerodrin
Chlormerodrina,Chlormerodrin
Chlormerodrine,Chlormerodrin
Chlormerodrinum,Chlormerodrin
(6R 7R Z)-7-(2-(2-Aminothiazol-4-yl)-2-(hydroxyimino)acetamido)-8-oxo-3-vinyl-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid,Cefdinir
(6R 7R)-7-{2-(2-amino-thiazol-4-yl)-2-[(Z)-hydroxyimino]-acetylamino}-8-oxo-3-vinyl-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid,Cefdinir
Cefdinir,Cefdinir
Cefdinirum,Cefdinir
CFDN,Cefdinir
Aminomethanamidine,Guanidine
Gu,Guanidine
Guanidin,Guanidine
GUANIDINE,Guanidine
H2N-C(=NH)-NH2,Guanidine
Imidourea,Guanidine
Iminourea,Guanidine
1-cyclopropyl-6-fluoro-1 4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid,Ciprofloxacin
1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1 4-dihydroquinoline-3-carboxylic acid,Ciprofloxacin
1-Cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-yl-1 4-dihydro-quinoline-3-carboxylic acid,Ciprofloxacin
1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,Ciprofloxacin
1-Cyclopropyl-6-fluoro-7-(4-methyl-piperazin-1-yl)-4-oxo-1 4-dihydro-quinoline-3-carboxylic acid,Ciprofloxacin
1-cyclopropyl-6-fluoro-7-hexahydro-1-pyrazinyl-4-oxo-1 4-dihydro-3-quinolinecarboxylic acid,Ciprofloxacin
Ciprofloxacine,Ciprofloxacin
Ciprofloxacino,Ciprofloxacin
Ciprofloxacinum,Ciprofloxacin
Gadoversetamid,Gadoversetamide
Gadoversetamida,Gadoversetamide
Gadoversetamide,Gadoversetamide
Gadoversetamidum,Gadoversetamide
Toremifeno,Toremifene
Toremifenum,Toremifene
10 11-dihydro-N-Methyl-5H-dibenzo[a D]cycloheptene-delta(5 gamma)-propylamine,Nortriptyline
3-(10 11-dihydro-5H-Dibenzo[a D]cyclohepten-5-ylidene)-N-methyl-1-propanamine,Nortriptyline
Ateben,Nortriptyline
Avantyl,Nortriptyline
Demethylamitriptyline,Nortriptyline
Desmethylamitriptyline,Nortriptyline
Noritren,Nortriptyline
Nortriptyline,Nortriptyline
Psychostyl,Nortriptyline
Sensaval,Nortriptyline
22-Oxovincaleukoblastin,Vincristine
22-Oxovincaleukoblastine,Vincristine
Leurocristine,Vincristine
Vincristin,Vincristine
Vincristina,Vincristine
Vincristinum,Vincristine
Benazeprilum,Benazepril
2-Chloro-11-(1-piperazinyl)dibenz(b F)(1 4)oxazepine,Amoxapine
Amoxapin,Amoxapine
Amoxapina,Amoxapine
Amoxapinum,Amoxapine
Amoxepine,Amoxapine
Desmethylloxapin,Amoxapine
5-Fluoracil,Fluorouracil
5-Fluoropyrimidine-2 4-dione,Fluorouracil
5-Fluorouracil,Fluorouracil
5-Fluracil,Fluorouracil
5-FU,Fluorouracil
Fluoro Uracil,Fluorouracil
Fluorouracil,Fluorouracil
Fluorouracilo,Fluorouracil
Fluorouracilum,Fluorouracil
Fluoruracil,Fluorouracil
Fluouracil,Fluorouracil
FU,Fluorouracil
Bromure de Pyridostigmine,Pyridostigmine
Bromuro de piridostigmina,Pyridostigmine
Pyridostigmin bromid,Pyridostigmine
Pyridostigmine,Pyridostigmine
Pyridostigmini Bromidum,Pyridostigmine
8-Chloro-1-((dimethylamino)methyl)-6-phenyl-4H-S-triazolo(4 3-a)(1 4)benzodiazepine,Adinazolam
Adinazolamum,Adinazolam
(11beta 16alpha)-9-Fluoro-11 21-dihydroxy-16-methylpregna-1 4-diene-3 20-dione,Desoximetasone
9alpha-Fluoro-16alpha-methyl-delta(1)-corticosterone,Desoximetasone
Desoximetason,Desoximetasone
Desoximetasona,Desoximetasone
DÃ©soximÃ©tasone,Desoximetasone
Desoximetasonum,Desoximetasone
Desoxymethasone,Desoximetasone
1 7-Dicarboxyheptane,Azelaic Acid
1 7-Heptanedicarboxylic acid,Azelaic Acid
1 9-Nonanedioic acid,Azelaic Acid
Acide azÃ©laÃ¯que,Azelaic Acid
ÃÅcido azelaico,Azelaic Acid
Acidum acelaicum,Azelaic Acid
Acidum azelaicum,Azelaic Acid
Anchoic acid,Azelaic Acid
Azelaic acid,Azelaic Acid
Azelainsaeure,Azelaic Acid
AzelainsÃ_ure,Azelaic Acid
Lepargylic acid,Azelaic Acid
N-Nonanedioic acid,Azelaic Acid
Nonandisaeure,Azelaic Acid
NonandisÃ_ure,Azelaic Acid
Nonanedioic acid,Azelaic Acid
Skinoren,Azelaic Acid
4-(5-Cyclopentyloxycarbonylamino-1-methyl-1H-indol-3-ylmethyl)-3-methoxy-N-O-tolylsulfonylbenzamide,Zafirlukast
Cyclopentyl 3-(2-methoxy-4-((O-tolylsulfonyl)carbamoyl)benzyl)-1-methylindole-5-carbamate,Zafirlukast
ICI-204 219,Zafirlukast
2-Mercapto-6-propyl-4-pyrimidone,Propylthiouracil
2-Mercapto-6-propylpyrimid-4-one,Propylthiouracil
2-Thio-4-oxo-6-propyl-1 3-pyrimidine,Propylthiouracil
2-Thio-6-propyl-1 3-pyrimidin-4-one,Propylthiouracil
2 3-dihydro-6-Propyl-2-thioxo-4(1H)-pyrimidinone,Propylthiouracil
4-Propyl-2-thiouracil,Propylthiouracil
6-Propyl-2-thio-2 4(1H 3H)pyrimidinedione,Propylthiouracil
6-Propyl-2-thioxo-2 3-dihydropyrimidin-4(1H)-one,Propylthiouracil
6-Propylthiouracil,Propylthiouracil
6-Thio-4-propyluracil,Propylthiouracil
Propiltiouracilo,Propylthiouracil
Propylthiouracil,Propylthiouracil
Propylthiouracile,Propylthiouracil
Propylthiouracilum,Propylthiouracil
Acethydroxamsaeure,Acetohydroxamic Acid
Acethydroxamsaure,Acetohydroxamic Acid
Acetic acid  oxime,Acetohydroxamic Acid
Acetohydroxamate,Acetohydroxamic Acid
Acetohydroxamic acid,Acetohydroxamic Acid
Acetohydroximic acid,Acetohydroxamic Acid
Acetyl hydroxyamino,Acetohydroxamic Acid
Acetylhydroxamic acid,Acetohydroxamic Acid
Acide acetohydroxamique,Acetohydroxamic Acid
Acido acetohidroxamico,Acetohydroxamic Acid
Acidum acetohydroxamicum,Acetohydroxamic Acid
AHA,Acetohydroxamic Acid
Cetohyroxamic acid,Acetohydroxamic Acid
Methylhydroxamic acid,Acetohydroxamic Acid
N-Acetyl hydroxyacetamide,Acetohydroxamic Acid
N-Acetylhydroxylamine,Acetohydroxamic Acid
N-Hydroxyacetamide,Acetohydroxamic Acid
Co-vidarabine,Pentostatin
Pentostatin,Pentostatin
Pentostatina,Pentostatin
Pentostatine,Pentostatin
Pentostatinum,Pentostatin
6-Hydroxy-7-methoxy-5-benzofuranacrylic acid delta-lactone,Methoxsalen
8-Methoxy-[furano-3'.2':6.7-coumarin],Methoxsalen
8-Methoxy-2' 3' 6 7-furocoumarin,Methoxsalen
8-Methoxy-4' 5':6 7-furocoumarin,Methoxsalen
8-Methoxyfuranocoumarin,Methoxsalen
8-Methoxypsoralen,Methoxsalen
8-MP,Methoxsalen
9-Methoxy-7H-furo[3 2-g][1]benzopyran-7-one,Methoxsalen
Ammoidin,Methoxsalen
Meladinine,Methoxsalen
Meloxine,Methoxsalen
Methoxalen,Methoxsalen
Methoxsalen,Methoxsalen
MÃ©thoxsalÃ¨ne,Methoxsalen
O-Methylxanthotoxol,Methoxsalen
Ultra mop,Methoxsalen
Xanthotoxin,Methoxsalen
Xanthotoxine,Methoxsalen
Xanthoxin,Methoxsalen
Zanthotoxin,Methoxsalen
4-Hydroxy-2-methyl-N-(2-pyridyl)-2H-1 2-benzothiazin-3-caboxyamid-1 1-dioxid,Piroxicam
Piroxicam,Piroxicam
Piroxicam betadex,Piroxicam
Piroxicamum,Piroxicam
Pyroxycam,Piroxicam
3 5-Diamino-6-(2 3-dichlorophenyl)-1 2 4-triazine,Lamotrigine
Lamotrigina,Lamotrigine
Lamotrigine,Lamotrigine
Lamotriginum,Lamotrigine
1 1 1 2 2 3 3 3-Octafluoropropane,Perflutren
FC 218,Perflutren
Freon 218,Perflutren
Octafluoropropane,Perflutren
Octafluorpropan,Perflutren
Oktafluorpropan,Perflutren
Perfluoropropane,Perflutren
Perflutren,Perflutren
Hidroxizina,Hydroxyzine
Hychotine,Hydroxyzine
Hydroksyzyny,Hydroxyzine
Hydroxine,Hydroxyzine
Hydroxizine,Hydroxyzine
Hydroxizinum,Hydroxyzine
Hydroxycine,Hydroxyzine
Hydroxyzin,Hydroxyzine
Hydroxyzine,Hydroxyzine
Hydroxyzinum,Hydroxyzine
(2R 3R 4S)-3-(acetylamino)-4-Carbamimidamido-2-[(1R 2R)-1 2 3-trihydroxypropyl]-3 4-dihydro-2H-pyran-6-carboxylic acid,Zanamivir
4-Guanidino-2 4-dideoxy-2 3-dehydro-N-acetylneuraminic acid,Zanamivir
4-Guanidino-neu5ac2en,Zanamivir
5-(acetylamino)-2 6-Anhydro-4-carbamimidamido-3 4 5-trideoxy-D-glycero-D-galacto-non-2-enonic acid,Zanamivir
5-acetamido-2 6-Anhydro-3 4 5-trideoxy-4-guanidino-D-glycero-D-galacto-non-2-enonic acid,Zanamivir
GANA,Zanamivir
GNA,Zanamivir
Modified sialic acid,Zanamivir
Zanamavir,Zanamivir
ZANAMIVIR,Zanamivir
ZMR,Zanamivir
4-(1 1-Dimethylethyl)-N-(6-(2-hydroxyethoxy)-5-(2-methoxyphenoxy)-(2 2'-bipyrimidin)-4-yl) benzenesulfornamide,Bosentan
bosentÃ¡n,Bosentan
bosentan,Bosentan
bosentanum,Bosentan
p-tert-Butyl-N-(6-(2-hydroxyethoxy)-5-(o-methoxyphenoxy)-2-(2-pyrimidinyl)-4-pyrimidinyl)benzenesulfonamide,Bosentan
(4S 4AS 5ar 12as)-9-(2-(tert-butylamino)acetamido)-4 7-bis(dimethylamino)-1 4 4a 5 5a 6 11 12a-octahydro-3 10 12 12a-tetrahydroxy-1 11-dioxo-2-naphthacenecarboxamide,Tigecycline
Tigeciclina,Tigecycline
Tigecycline,Tigecycline
Tigecyclinum,Tigecycline
(+-)-Doxapram,Doxapram
1-Ethyl-4-(2-morpholinoethyl)-3 3-diphenyl-2-pyrrolidinone,Doxapram
Doxapram,Doxapram
Doxapramum,Doxapram
3-((Benzylthio)methyl)-6-chloro-7-sulfamoyl-2H-benzo-1 2 4-thiadiazine 1 1-dioxide,Benzthiazide
3-Benzylthiomethyl-6-chloro-2H-1 2 4-benzothiadiazine-7-sulfonamide 1 1-dioxide,Benzthiazide
3-Benzylthiomethyl-6-chloro-7-sulfamoyl-1 2 4-benzothiadiazine 1 1-dioxide,Benzthiazide
6-chloro-1 1-dioxo-3-(Phenylmethylsulfanylmethyl)-4H-benzo[e][1 2 4]thiadiazine-7-sulfonamide,Benzthiazide
6-chloro-7-Sulfamoyl-3-benzylthiomethyl-2H-1 2 4-benzothiadiazine 1 1-dioxide,Benzthiazide
Benzothiazide,Benzthiazide
Benzotiazida,Benzthiazide
Benzthiazid,Benzthiazide
Benzthiazide,Benzthiazide
Benzthiazidum,Benzthiazide
Benztiazide,Benzthiazide
4-amino-10-methylfolic acid,Methotrexate
4-amino-N(10)-methylpteroylglutamic acid,Methotrexate
Amethopterin,Methotrexate
Methotrexat,Methotrexate
MÃ©thotrexate,Methotrexate
Methotrexatum,Methotrexate
Metotrexato,Methotrexate
MTX,Methotrexate
N-[4-[[(2 4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid,Methotrexate
5-Carbamoyl-5H-dibenz(b f)azepine,Carbamazepine
5-Carbamoyl-5H-dibenz[b F]azepine,Carbamazepine
5-Carbamoyl-5H-dibenzo(b F)azepine,Carbamazepine
5-Carbamyl-5H-dibenzo(b F)azepine,Carbamazepine
5H-Dibenz(b F)azepine-5-carboxamide,Carbamazepine
Carbamazepen,Carbamazepine
Carbamazepin,Carbamazepine
Carbamazepina,Carbamazepine
CarbamazÃ©pine,Carbamazepine
Carbamazepinum,Carbamazepine
CBZ,Carbamazepine
(1R-cis 1'R-cis)-2 2'-{pentane-1 5-diylbis[oxy(3-oxopropane-3 1-diyl)]}bis[1-(3 4-dimethoxybenzyl)-6 7-dimethoxy-2-methyl-1 2 3 4-tetrahydroisoquinolinium] bisbenzenesulfonate,Cisatracurium besylate
(1R-cis 1'R-cis)-atracurium besylate,Cisatracurium besylate
(1R 1'R 2R 2'r)-atracurium besylate,Cisatracurium besylate
Besilate de cisatracurium,Cisatracurium besylate
Besilato de cisatracurio,Cisatracurium besylate
Cisatracurii besilas,Cisatracurium besylate
Cisatracurium besilate,Cisatracurium besylate
Cisatracurium dibenzenesulfonate,Cisatracurium besylate
Cisatracurium-Kation,Cisatracurium besylate
Dimercaptosuccinic acid,Succimer
DMSA,Succimer
meso-2 3-DimercaptobernsteinsÃ_ure,Succimer
meso-2 3-dimercaptosuccinic acid,Succimer
meso-dimercaptosuccinic acid,Succimer
(6R 7R)-7-{[(2R)-2-amino-2-phenylacetyl]amino}-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,Cephalexin
7-(D-alpha-Aminophenylacetamido)desacetoxycephalosporanic acid,Cephalexin
7-beta-(D-alpha-Amino-alpha-phenylacetylamino)-3-methyl-3-cephem-4-carboxylic acid,Cephalexin
Anhydrous cefalexin,Cephalexin
Anhydrous cephalexin,Cephalexin
Cefalexin,Cephalexin
Cefalexin anhydrous,Cephalexin
Cefalexina,Cephalexin
CÃ©falexine,Cephalexin
Cefalexinum,Cephalexin
Cephalexin anhydrous,Cephalexin
1-(Diphenylmethyl)-4-(3-phenyl-2-propenyl)piperazine,Cinnarizine
1-Benzhydryl-4-cinnamylpiperazin,Cinnarizine
1-Cinnamyl-4-(diphenylmethyl)piperazine,Cinnarizine
Cinarizina,Cinnarizine
Cinnarizine,Cinnarizine
Cinnarizinum,Cinnarizine
Methyl O-2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranosyl-(1-4)-O-beta-D-glucopyranuronosyl-(1-4)-O-2-deoxy-3 6-di-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranosyl-(1-4)-O-2-O-sulfo-alpha-L-idopyranuronosyl-(1-4)-2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranoside  decasodium salt,Fondaparinux sodium
Vinblastin,Vinblastine
Vinblastina,Vinblastine
Vinblastine,Vinblastine
Vinblastinum,Vinblastine
Vincaleukoblastine,Vinblastine
1-((1-Methylethyl)amino)-3-(1-naphthalenyloxy)-2-propanol,Propranolol
1-(isopropylamino)-3-(1-naphthyloxy)propan-2-ol,Propranolol
beta-Propranolol,Propranolol
Propanalol,Propranolol
Propanolol,Propranolol
Propranolol,Propranolol
Propranololo,Propranolol
Propranololum,Propranolol
Î_-Propranolol,Propranolol
(+-)-Atropine,Atropine
(+-)-Hyoscyamine,Atropine
(+ -)-Tropyl tropate,Atropine
(Â±)-atropine,Atropine
(Â±)-hyoscyamine,Atropine
(3-Endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl tropate,Atropine
[(1S 5R)-8-Methyl-8-azabicyclo[3.2.1]oct-3-yl] 3-hydroxy-2-phenyl-propanoate,Atropine
8-Methyl-8-azabicyclo[3.2.1]oct-3-yl 3-hydroxy-2-phenylpropanoate,Atropine
8-Methyl-8-azabicyclo[3.2.1]oct-3-yl tropate,Atropine
Atropin,Atropine
Atropina,Atropine
Atropine,Atropine
Atropinum,Atropine
dl-Hyoscyamine,Atropine
dl-tropyltropate,Atropine
Mydriasine,Atropine
Tropine tropate,Atropine
(+-)-2-(3-Phenoxyphenyl)propionic acid,Fenoprofen
(+/-)-fenoprofen,Fenoprofen
(+/-)-m-phenoxyhydratropic acid,Fenoprofen
2-(3-phenoxyphenyl)propionic acid,Fenoprofen
2-(m-phenoxyphenyl)propionic acid,Fenoprofen
3-phenoxyhydratropic acid,Fenoprofen
alpha-(m-Phenoxyphenyl)propionic acid,Fenoprofen
alpha-Methyl-3-phenoxybenzeneacetic acid,Fenoprofen
DL-2-(3-phenoxyphenyl)propionic acid,Fenoprofen
Fenoprofen,Fenoprofen
FÃ©noprofÃ¨ne,Fenoprofen
Fenoprofeno,Fenoprofen
Fenoprofenum,Fenoprofen
Fenfluramina,Fenfluramine
Fenfluraminum,Fenfluramine
2-[(2 6-Dichlorophenyl)imino]imidazoline,Clonidine
2 6-Dichloro-N-2-imidazolidinylidenebenzenamine,Clonidine
Chlofazoline,Clonidine
Clonidin,Clonidine
Clonidina,Clonidine
Clonidinum,Clonidine
Rufol,Sulfamethizole
Sulfamethizol,Sulfamethizole
SulfamÃ©thizol,Sulfamethizole
Sulfamethizole,Sulfamethizole
Sulfamethizolum,Sulfamethizole
Sulfamethylthiadiazole,Sulfamethizole
Sulfametizol,Sulfamethizole
L-Valine ester with 9-((2-hydroxyethoxy)methyl)guanine,Valaciclovir
L-Valine  2-((2-amino-1 6-dihydro-6-oxo-9H-purin-9-yl)methoxy)ethyl ester,Valaciclovir
Valaciclovirum,Valaciclovir
Valacyclovir,Valaciclovir
(2S 5R 6R)-6-{[carboxy(phenyl)acetyl]amino}-3 3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,Carbenicillin
alpha-Carboxybenzylpencillin,Carbenicillin
alpha-Phenyl(carboxymethylpenicillin),Carbenicillin
Carbenicilina,Carbenicillin
Carbenicillin,Carbenicillin
Carbenicilline,Carbenicillin
Carbenicillinum,Carbenicillin
Carboxybenzylpenicillin,Carbenicillin
CBPC,Carbenicillin
N-(2-Carboxy-3 3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)hept-6-yl)-2-phenylmalonamic acid,Carbenicillin
Mazindol,Mazindol
Mazindolo,Mazindol
Mazindolum,Mazindol
4-O-beta-D-Galactopyranosyl-D-fructofuranose,Lactulose
4-O-beta-D-Galactopyranosyl-D-fructose,Lactulose
Lactulosa,Lactulose
Lactulose,Lactulose
Lactulosum,Lactulose
(AlphaR betas)-alpha-(2 4-difluorophenyl)-5-fluoro-beta-methyl-alpha(1H-1 2 4-triazol-1-ylmethyl)-4-pyrimidineethanol,Voriconazole
